"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N284JN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N284WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N285NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N285WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N286NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N286WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N287AK",2018,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N287NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N287WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N288NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N288WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N289CT",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N290WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N291WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N292AK",2018,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N292PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N292WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N293AK",2018,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N293PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N293WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N294AK",2018,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N294JB",2008,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N294PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N294WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N295PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N295WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N296JB",2008,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N296PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N296WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N297AK",2019,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N297PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N297WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N298AK",2019,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N298JB",2009,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N298PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N298WN",NA,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
